,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.7358943577430973,4,6,0.6666666666666666,73,116,0.6293103448275862,1,5,10,0.6,15,0.6
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,4,6,0.6666666666666666,73,116,0.6293103448275862,1,5,10,0.6,15,0.6
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,6,6,1.0,79,116,0.6810344827586207,1,5,10,0.6,15,0.6
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,5,6,0.8333333333333334,78,116,0.6724137931034483,1,5,10,0.6,15,0.6
linear svm (L),0.6567164179104478,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.7322929171668667,5,6,0.8333333333333334,18,116,0.15517241379310345,1,5,10,0.6,15,0.6
non-linear svm (L),0.6940298507462687,0.5606060606060606,0.7551020408163265,0.6434782608695652,0.7800720288115246,3,6,0.5,17,116,0.14655172413793102,1,5,10,0.6,15,0.6
logistic regression (L),0.6865671641791045,0.6129032258064516,0.3877551020408163,0.4749999999999999,0.7647058823529412,5,6,0.8333333333333334,15,116,0.12931034482758622,1,5,10,0.6,15,0.6
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,5,6,0.8333333333333334,79,116,0.6810344827586207,1,5,10,0.6,15,0.6
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,5,6,0.8333333333333334,79,116,0.6810344827586207,1,5,10,0.6,15,0.6
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,5,6,0.8333333333333334,79,116,0.6810344827586207,1,5,10,0.6,15,0.6
