accuracy
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806
0.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806

precision
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442
0.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442

recall
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597
0.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597

f1
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758
0.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758

auc
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117
0.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.816048968933911,0.7951160428050499,0.7723221095803497,0.832599556154117

violation_rate
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652
0.0,0.8831544604364077,0.9087954860774332,0.8882826655646128,0.8066979290103022,0.8829547131778369,0.7356286697057488,0.8819233650876652

violation_rate (instance)
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826
0.0,0.8806497738356944,0.8942478719767273,0.8852733653593589,0.8740972718885495,0.8784690981376038,0.8570022132001389,0.8841582625174826

