accuracy
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806,0.4656716417910448,0.7149253731343284,0.7671641791044777
5.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806,0.3253731343283582,0.7253731343283583,0.7671641791044777
15.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806,0.4104477611940298,0.7253731343283581,0.7686567164179106
50.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806,0.4686567164179104,0.7149253731343284,0.7791044776119403
100.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7328358208955226,0.7417910447761195,0.782089552238806,0.4208955223880597,0.7014925373134329,0.7805970149253731

precision
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442,0.4073978025117066,0.5453087772077072,0.7108309644460923
5.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442,0.3253731343283582,0.5580733442802408,0.7108309644460923
15.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442,0.3532039736087988,0.561530787661409,0.7164959890766343
50.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442,0.3901918976545842,0.5506319625975584,0.7556376573617953
100.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.601978533557481,0.627843137254902,0.7151582081225442,0.3676916171024576,0.5339924346793954,0.7634934669417428

recall
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597,0.8835000403323384,0.7760513653783774,0.4960755347467387
5.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597,1.0,0.7763415007748958,0.4960755347467387
15.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597,0.9625,0.7380207376870519,0.4960755347467387
50.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597,0.9325255102040816,0.7474226992117174,0.4855702155978025
100.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.553471230599716,0.5577058686985013,0.5681060663269597,0.9875,0.7442916547242898,0.4855702155978025

f1
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758,0.5320044128246071,0.6352591959498743,0.5799185491346572
5.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758,0.4891782889030731,0.6445306138649792,0.5799185491346572
15.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758,0.5158719961795768,0.6339109405171112,0.5815325842223765
50.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758,0.5408203717682161,0.6261690246694573,0.5875130901987934
100.0,0.6186934885730067,0.5872011268658709,0.6124642986803386,0.6102522522522522,0.5719077287920719,0.5826078158358861,0.6274596341814758,0.5338590175097819,0.6128474368190112,0.5887398907698562

auc
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.815710944769303,0.7951160428050499,0.7723221095803497,0.832599556154117,0.5424238012796806,0.8281030697611718,0.82386608190197
5.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.815710944769303,0.7951160428050499,0.7723221095803497,0.832599556154117,0.4746460375679556,0.8260353791154893,0.8240617287593924
15.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.815710944769303,0.7951160428050499,0.7723221095803497,0.832599556154117,0.5546381554689507,0.8267881794777925,0.8253587085504999
50.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.815710944769303,0.7951160428050499,0.7723221095803497,0.832599556154117,0.5693027648739591,0.82536169639182,0.8266994436360957
100.0,0.8378045112241415,0.8380644745522868,0.8405733226121905,0.815710944769303,0.7951160428050499,0.7723221095803497,0.832599556154117,0.3692365644853518,0.8205887328237678,0.8318633449436387

violation_rate
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.8666666666666668,0.9666666666666668,0.9666666666666668,0.7833333333333333,1.0,0.8833333333333332,0.9666666666666668,0.7916666666666667,0.5,0.6916666666666667
5.0,0.8666666666666668,0.9666666666666668,0.9666666666666668,0.7833333333333333,1.0,0.8833333333333332,0.9666666666666668,0.575,0.5,0.6916666666666667
15.0,0.8666666666666668,0.9666666666666668,0.9666666666666668,0.7833333333333333,1.0,0.8833333333333332,0.9666666666666668,0.675,0.55,0.6666666666666667
50.0,0.8666666666666668,0.9666666666666668,0.9666666666666668,0.7833333333333333,1.0,0.8833333333333332,0.9666666666666668,0.6416666666666667,0.55,0.6666666666666667
100.0,0.8666666666666668,0.9666666666666668,0.9666666666666668,0.7833333333333333,1.0,0.8833333333333332,0.9666666666666668,0.625,0.575,0.6666666666666667

violation_rate (instance)
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
1.0,0.695723635668084,0.7315540441129188,0.7160674320320123,0.677642352618149,0.7291822399468562,0.7150863739454418,0.7217547290243744,0.4394625843030894,0.1097093209381641,0.1097711471081423
5.0,0.695723635668084,0.7315540441129188,0.7160674320320123,0.677642352618149,0.7291822399468562,0.7150863739454418,0.7217547290243744,0.6596733122724381,0.1134829058438245,0.1097711471081423
15.0,0.695723635668084,0.7315540441129188,0.7160674320320123,0.677642352618149,0.7291822399468562,0.7150863739454418,0.7217547290243744,0.5770737315596499,0.1046199465588196,0.1081182545461589
50.0,0.695723635668084,0.7315540441129188,0.7160674320320123,0.677642352618149,0.7291822399468562,0.7150863739454418,0.7217547290243744,0.5084371379067908,0.1085134788565787,0.1098726405110711
100.0,0.695723635668084,0.7315540441129188,0.7160674320320123,0.677642352618149,0.7291822399468562,0.7150863739454418,0.7217547290243744,0.572413059660556,0.130318218781188,0.1037890776093264

