,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,32.2,36.6,0.8813404552104244,527.2,597.2,0.8817657093010987,10,10,100,0
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,33.2,36.6,0.9066151804851496,535.0,597.2,0.8951473207737998,10,10,100,0
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,32.4,36.6,0.8864686603386295,529.8,597.2,0.8862957641898751,10,10,100,0
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8158570975323867,29.8,36.6,0.8066353666972862,523.8,597.2,0.8753877833045258,10,10,100,0
RuleFit Classifier (conti),0.7402985074626867,0.6148388439787669,0.5575528632527773,0.5797930334515701,0.7928591400439454,32.2,36.6,0.8815888136631171,525.6,597.2,0.8795901195686581,10,10,100,0
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,27.4,36.6,0.7428707515394822,513.4,597.2,0.8578398172706441,10,10,100,0
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,32.2,36.6,0.8799671123510133,529.2,597.2,0.8851165117976022,10,10,100,0
linear svm (L),0.45373134328358206,0.36742734180680364,0.8122277567153343,0.49814464376275647,0.4660662743203489,26.4,36.6,0.7210982206647841,350.8,597.2,0.6065118476799806,10,10,100,0
non-linear svm (L),0.708955223880597,0.5539707785948387,0.6811354604494224,0.6022424897315906,0.8197869981214657,22.0,36.6,0.5961423921795439,131.8,597.2,0.2206574581885185,10,10,100,0
logistic regression (L),0.7432835820895523,0.7813186813186813,0.30277466107963663,0.4252353114354207,0.8293437661756462,20.2,36.6,0.5546849023010013,97.0,597.2,0.16318604923316912,10,10,100,0
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,21.6,36.6,0.5887764660520078,479.2,597.2,0.8015549524346488,10,10,100,0
