,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,3.7013511046643504,4.669047011971501,0.03061813964241748,64.00937431345507,63.28269905748333,0.014282387992178139,10,10,1,0
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607768,4.494441010848847,4.669047011971501,0.02860104559247959,62.165102750659074,63.28269905748333,0.010131490107955379,10,10,1,0
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,3.7815340802378072,4.669047011971501,0.024856639793566046,62.957922456192904,63.28269905748333,0.012050365191488723,10,10,1,0
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.0518951199673378,6.418722614352485,4.669047011971501,0.08696750913097202,68.53612186285419,63.28269905748333,0.02060449523392489,10,10,1,0
RuleFit Classifier (conti),0.024974926165196275,0.06973083726212488,0.05997733457658361,0.02438678121007157,0.037370968307970584,4.08656334834051,4.669047011971501,0.06109522718951386,60.00249994791883,63.28269905748333,0.010164620748426795,10,10,1,0
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,5.683308895353129,4.669047011971501,0.07358210312457357,68.8244142728436,63.28269905748333,0.024618783656129312,10,10,1,0
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,4.3817804600413295,4.669047011971501,0.04668297117587936,64.85907800763128,63.28269905748333,0.017303841820651245,10,10,1,0
linear svm (L),0.16556403658895383,0.11163951879245475,0.16428254528569883,0.07217001713206977,0.27392709518504543,4.722287581247039,4.669047011971501,0.08564642942507038,171.4884835783441,63.28269905748333,0.2570030046416634,10,10,1,0
non-linear svm (L),0.036330332670561384,0.05911975135287094,0.05334888589154426,0.03610847272467366,0.04160490395184312,6.442049363362563,4.669047011971501,0.11249497335670604,30.375977350531453,63.28269905748333,0.048337652263952986,10,10,1,0
logistic regression (L),0.056980922892003204,0.09183215281497639,0.09149741773334545,0.07219507321028623,0.0514154097015912,4.08656334834051,4.669047011971501,0.11156369862792967,22.561028345356956,63.28269905748333,0.03790310609277692,10,10,1,0
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,3.361547262794323,4.669047011971501,0.03250775718135808,61.86032654294673,63.28269905748333,0.034497117780869925,10,10,1,0
