,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,32.2,36.6,0.8813404552104244,527.2,597.2,0.8817657093010987,10,10,5,0
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,33.2,36.6,0.9066151804851496,535.0,597.2,0.8951473207737998,10,10,5,0
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,32.4,36.6,0.8864686603386295,529.8,597.2,0.8862957641898751,10,10,5,0
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8158570975323867,29.8,36.6,0.8066353666972862,523.8,597.2,0.8753877833045258,10,10,5,0
RuleFit Classifier (conti),0.7402985074626867,0.6148388439787669,0.5575528632527773,0.5797930334515701,0.7928591400439454,32.2,36.6,0.8815888136631171,525.6,597.2,0.8795901195686581,10,10,5,0
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,27.4,36.6,0.7428707515394822,513.4,597.2,0.8578398172706441,10,10,5,0
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,32.2,36.6,0.8799671123510133,529.2,597.2,0.8851165117976022,10,10,5,0
linear svm (L),0.46716417910447755,0.428544776119403,0.8425909494232474,0.5168106853992345,0.414083912126005,22.2,36.6,0.6060696991347146,324.8,597.2,0.5585011829961009,10,10,5,0
non-linear svm (L),0.7283582089552239,0.5635851329440256,0.7520021895310979,0.6383277160651295,0.8237508486909293,25.2,36.6,0.6783717211580989,152.4,597.2,0.25507512164440527,10,10,5,0
logistic regression (L),0.773134328358209,0.7312531266368865,0.49199390209367744,0.5840031784967783,0.8259810013305933,19.6,36.6,0.5379137889973803,96.4,597.2,0.16218616833216323,10,10,5,0
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,21.6,36.6,0.5887764660520078,479.2,597.2,0.8015549524346488,10,10,5,0
