,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,3.7013511046643504,4.669047011971501,0.03061813964241748,64.00937431345507,63.28269905748333,0.014282387992178139,10,10,100,0
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607779,4.494441010848847,4.669047011971501,0.02860104559247959,62.165102750659074,63.28269905748333,0.010131490107955379,10,10,100,0
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,3.7815340802378072,4.669047011971501,0.024856639793566046,62.957922456192904,63.28269905748333,0.012050365191488723,10,10,100,0
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.0518951199673378,6.418722614352485,4.669047011971501,0.08696750913097202,68.53612186285419,63.28269905748333,0.02060449523392489,10,10,100,0
RuleFit Classifier (conti),0.024974926165196275,0.06973083726212488,0.05997733457658361,0.02438678121007157,0.037370968307970584,4.08656334834051,4.669047011971501,0.06109522718951386,60.00249994791883,63.28269905748333,0.010164620748426795,10,10,100,0
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,5.683308895353129,4.669047011971501,0.07358210312457357,68.8244142728436,63.28269905748333,0.024618783656129312,10,10,100,0
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,4.3817804600413295,4.669047011971501,0.04668297117587936,64.85907800763128,63.28269905748333,0.017303841820651245,10,10,100,0
linear svm (L),0.18464683346214292,0.10393435003677493,0.17019840541381948,0.10134121866059775,0.31656725517408263,5.594640292279745,4.669047011971501,0.14023462169320855,149.33251487870953,63.28269905748333,0.2867216587069531,10,10,100,0
non-linear svm (L),0.055092623359079836,0.09202279144309124,0.09417495012084134,0.03750055920125919,0.04474248340082878,6.819090848492928,4.669047011971501,0.14702504515988776,34.73758771129625,63.28269905748333,0.05488953779742069,10,10,100,0
logistic regression (L),0.0668733337827458,0.07311512675675891,0.12959215495171378,0.13492993671553785,0.048929010385697726,2.7748873851023212,4.669047011971501,0.07211471590525369,19.300259065618786,63.28269905748333,0.03222166447774894,10,10,100,0
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,3.361547262794323,4.669047011971501,0.03250775718135808,61.86032654294673,63.28269905748333,0.034497117780869925,10,10,100,0
