,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8279397233201582,36,42,0.8571428571428571,636,699,0.9098712446351931,2,5,10,10,1,0
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,32,42,0.7619047619047619,626,699,0.8955650929899857,2,5,10,10,1,0
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,34,42,0.8095238095238095,624,699,0.8927038626609443,2,5,10,10,1,0
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,36,42,0.8571428571428571,639,699,0.9141630901287554,2,5,10,10,1,0
linear svm (L),0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.7087450592885375,24,42,0.5714285714285714,586,699,0.8383404864091559,2,5,10,10,1,0
non-linear svm (L),0.7388059701492538,0.5932203389830508,0.7608695652173914,0.6666666666666667,0.825592885375494,32,42,0.7619047619047619,161,699,0.23032904148783978,2,5,10,10,1,0
logistic regression (L),0.7835820895522388,0.8148148148148148,0.4782608695652174,0.6027397260273973,0.8137351778656127,21,42,0.5,95,699,0.13590844062947066,2,5,10,10,1,0
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,36,42,0.8571428571428571,633,699,0.9055793991416309,2,5,10,10,1,0
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.8246047430830039,37,42,0.8809523809523809,636,699,0.9098712446351931,2,5,10,10,1,0
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,36,42,0.8571428571428571,634,699,0.9070100143061517,2,5,10,10,1,0
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,24,42,0.5714285714285714,586,699,0.8383404864091559,2,5,10,10,1,0
