,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8038640254340914,20,30,0.6666666666666666,458,536,0.8544776119402985,4,5,10,10,50,0
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,20,30,0.6666666666666666,457,536,0.8526119402985075,4,5,10,10,50,0
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,27,30,0.9,469,536,0.875,4,5,10,10,50,0
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,27,30,0.9,475,536,0.8861940298507462,4,5,10,10,50,0
linear svm (L),0.7388059701492538,0.5833333333333334,0.8936170212765957,0.7058823529411765,0.8473954512105649,16,30,0.5333333333333333,153,536,0.28544776119402987,4,5,10,10,50,0
non-linear svm (L),0.7313432835820896,0.582089552238806,0.8297872340425532,0.6842105263157895,0.8393250183418929,20,30,0.6666666666666666,147,536,0.27425373134328357,4,5,10,10,50,0
logistic regression (L),0.746268656716418,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.8698948398141355,16,30,0.5333333333333333,77,536,0.14365671641791045,4,5,10,10,50,0
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,27,30,0.9,467,536,0.871268656716418,4,5,10,10,50,0
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,27,30,0.9,479,536,0.8936567164179104,4,5,10,10,50,0
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,27,30,0.9,473,536,0.8824626865671642,4,5,10,10,50,0
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,17,30,0.5666666666666667,433,536,0.8078358208955224,4,5,10,10,50,0
